,Movie_Title,Genre,Director,Number_of_Screens,Verdict,RevenueUSD,BudgetUSD,Music.Director
1,Ghajini,action,A.R. Murugadoss,1550,Blockbuster,6.24,23.34984,A.R. Rehman
2,Taare Zameen Par,drama,Aamir Khan,500,Super Hit,2.16,10.50942,Shankar - Ehsaan - Loy
3,Mangal Pandey - The Rising,drama,Ketan Mehta,675,Flop,4.44,6.30942,A.R. Rehman
4,Fanaa,love_story,Kunal Kohli,650,Super Hit,3.6,12.6576,Jatin - Lalit
5,Dangal,drama,Nitish Tiwari,4250,All Time Blockbuster,15.84,84.297,Pritam
6,3 Idiots,drama,Rajkumar Hirani,1750,All Time Blockbuster,9.24,41.89242,Shantanu Moitra
7,PK,drama,Rajkumar Hirani,3600,All Time Blockbuster,14.64,73.92435,Ajay - Atul
8,Rang De Basanti,drama,Rakesh Omprakash Mehra,600,Hit,3.36,11.74896,A.R. Rehman
9,Talaash,thriller,Reema Kagti,2550,Semi Hit,8.52,20.75661,Ram Sampath
10,Dhoom 3,action,Vijay Krishna Acharya,3650,All Time Blockbuster,21,62.92512,Pritam
11,Oye Lucky! Lucky Oye!,comedy,Dibakar Banerjee,400,Flop,1.44,1.20744,Sneha Khanwalkar
12,Socha Na Tha,rom__com,Imtiaz Ali,110,Flop,0.6,0.6336,Sandesh Shandilya
13,Honeymoon Travels Pvt. Ltd.,rom__com,Reema Kagti,350,Average,1.2,2.34192,Vishal - Shekhar
14,Roar - Tigers Of The Sundarbans,thriller,Kamal Sadanah,1250,Flop,3,1.61535,John Stewart
15,Players,action,Abbas - Mustan,1900,Disaster,6.6,5.8272,Pritam
16,Game,thriller,Abhinay Deo,1100,Disaster,4.08,1.54551,Shankar - Ehsaan - Loy
17,Khelein Hum Jee Jaan Sey,drama,Ashutosh Gowariker,750,Disaster,4.68,0.919845,Sohail Sen
18,Drona,action,Goldie Behl,750,Disaster,5.16,2.16792,Dhruv Ghanekar
19,Guru,drama,Mani Ratnam,650,Hit,2.64,10.04052,A.R. Rehman
20,Raavan,action,Mani Ratnam,1350,Flop,6.6,5.94867,A.R. Rehman
21,Delhi 6,drama,Rakesh Omprakash Mehra,1100,Flop,5.76,6.261,A.R. Rehman
22,Bluffmaster,thriller,Rohan Sippy,350,Semi Hit,1.2,3.9252,Vishal - Shekhar
23,Dum Maaro Dum,thriller,Rohan Sippy,1350,Flop,3.72,6.14328,Pritam
24,Bunty Aur Babli,comedy,Shaad Ali,475,Super Hit,1.5,7.64886,Shankar - Ehsaan - Loy
25,Jhoom Barabar Jhoom,rom__com,Shaad Ali,950,Below Average,3.24,5.823,Shankar - Ehsaan - Loy
26,Dostana,rom__com,Tarun Mansukhani,1000,Average,4.8,10.45821,Vishal - Shekhar
27,All Is Well,drama,Umesh Shukla,1650,Disaster,4.08,2.76384,Himesh Reshammiya
28,Fitoor,drama,Abhishek Kapoor,1500,Disaster,8.52,4.7739,Amit Trivedi
29,Aashiqui 2,love_story,Mohit Suri,1150,Blockbuster,1.8,13.1256,Mithoon
30,Ok Jaanu,drama,Shaad Ali,1400,Flop,3.24,4.50024,A.R. Rehman
31,Yeh Jo Mohabbat Hai,love_story,Shree Narayan Singh,125,Disaster,0.96,0.035216256,Anu Malik
32,Aloo Chaat,comedy,Robby Grewal,400,Flop,1.2,0.89616,RDB
33,Ankahee,thriller,Vikram Bhatt,125,Disaster,0.72,0.21156,Pritam
34,Umrao Jaan,drama,J.P. Dutta,500,Disaster,2.76,2.343,Anu Malik
35,Provoked,drama,Jag Mundhra,90,Disaster,1.44,1.59357,A.R. Rehman
36,The Mistress Of Spices,drama,Somnath Sen,50,Disaster,1.08,0.4128,Mahesh Balraj
37,U Me Aur Hum,love_story,Ajay Devgn,600,Flop,3,4.8024,Vishal Bhardwaj
38,Shivaay,thriller,Ajay Devgn,2950,Below Average,12.36,14.89746,Jasleen Royal
39,Blackmail,thriller,Anil Devgan,325,Disaster,1.14,0.79047,Himesh Reshammiya
40,Cash,thriller,Anubhav Sinha,1000,Flop,3.84,3.51606,Vishal - Shekhar
41,Atithi Tum Kab Jaoge?,comedy,Ashwini Dhir,1050,Average,2.64,5.19732,Pritam
42,Son Of Sardaar,masala,Ashwini Dhir,2000,Hit,8.04,16.21497,Himesh Reshammiya
43,Rascals,comedy,David Dhawan,1850,Flop,5.52,6.122175,Vishal - Shekhar
44,Main Aisa Hi Hoon,drama,Harry Baweja,250,Disaster,0.9,0.6213,Himesh Reshammiya
45,Shikhar,drama,John M. Matthan,350,Disaster,1.68,1.2414,Viju Shah
46,Insan,action,K. Subhash,350,Disaster,1.5,1.2492,Himesh Reshammiya
47,Toonpur Ka Superrhero,fantasy,Kireet Khurana,500,Disaster,3,0.612555,Anu Malik
48,Dil Toh Baccha Hai Ji,comedy,Madhur Bhandarkar,1350,Flop,3.48,4.8552,Pritam
49,Tango Charlie,action,Mani Shankar,325,Disaster,1.62,1.378275,Anu Malik
50,Once Upon A Time In Mumbaai,drama,Milan Luthria,1400,Hit,4.2,10.22136,Pritam
51,Baadshaho,action,Milan Luthria,2850,Flop,10.8,12.14184,Ankit Tiwari
52,Drishyam,thriller,Nishikant Kamat,2250,Average,7.44,13.25112,Vishal Bhardwaj
53,Action Jackson,action,Prabhu Deva,3350,Flop,11.16,10.66461,Himesh Reshammiya
54,Apaharan,action,Prakash Jha,425,Semi Hit,1.32,2.7798,Aadesh Shrivastava
55,Satyagraha,drama,Prakash Jha,2650,Flop,8.76,10.9209,Salim - Sulaiman
56,Aakrosh,thriller,Priyadarshan,1200,Disaster,4.56,2.32836,Pritam
57,Tezz,thriller,Priyadarshan,1950,Disaster,6.24,3.13485,Sajid - Wajid
58,Halla Bol,drama,Rajkumar Santoshi,925,Flop,3.24,2.3268,Sukhwinder Singh
59,Golmaal - Fun Unlimited,comedy,Rohit Shetty,600,Hit,1.8,5.60712,Vishal - Shekhar
60,Sunday,comedy,Rohit Shetty,900,Flop,2.64,3.83538,Raghav Sachar
61,Golmaal Returns,comedy,Rohit Shetty,1250,Hit,4.2,9.60096,Ashish Pandit
62,All The Best - Fun Begins,comedy,Rohit Shetty,1300,Average,4.92,7.4133,Pritam
63,Golmaal 3,comedy,Rohit Shetty,1750,Blockbuster,6,20.34762,Pritam
64,Singham,action,Rohit Shetty,2050,Super Hit,4.92,16.95642,Ajay - Atul
65,Bol Bachchan,comedy,Rohit Shetty,2500,Hit,7.92,19.15968,Ajay - Atul
66,Singham Returns,action,Rohit Shetty,3500,Super Hit,12.6,25.98837,Honey Singh
67,Golmaal Again,comedy,Rohit Shetty,3300,Blockbuster,17.04,37.3254,DJ Chetas
68,Himmatwala,masala,Sajid Khan,3150,Flop,8.16,7.895925,Sajid - Wajid
69,Kaal,thriller,Soham Shah,450,Average,1.56,3.9741,Salim - Sulaiman
70,Omkara,drama,Vishal Bhardwaj,625,Flop,3.12,5.08944,Vishal Bhardwaj
71,Holiday - A Soldier Is Never Off Duty,thriller,A.R. Murugadoss,3300,Hit,10.32,21.17064,Pritam
72,The Shaukeens,comedy,Abhishek Sharma,1800,Flop,4.92,3.2643,Honey Singh
73,Welcome,comedy,Anees Bazmee,1250,Super Hit,5.76,14.3397,Sajid - Wajid
74,Singh Is Kinng,masala,Anees Bazmee,1400,Super Hit,6,14.8761,Pritam
75,Thank You,comedy,Anees Bazmee,1800,Flop,7.32,8.52279,Pritam
76,Blue,action,Anthony D'Souza,1500,Flop,9.6,7.67055,A.R. Rehman
77,Boss,action,Anthony D'Souza,2800,Flop,8.4,10.17936,Meet Bros
78,Khiladi 786,comedy,Ashish R. Mohan,2750,Average,7.56,11.64648,Himesh Reshammiya
79,Bewafaa,love_story,Dharmesh Darshan,450,Below Average,2.16,3.98196,Nadeem - Shravan
80,Tees Maar Khan,comedy,Farah Khan,2200,Semi Hit,5.4,11.94174,Vishal - Shekhar
81,Entertainment,comedy,Farhad - Sajid,2850,Flop,9.72,12.39636,Sachin - Jigar
82,Housefull 3,comedy,Farhad - Sajid,3650,Hit,11.64,23.3922,Mika Singh
83,Brothers,action,Karan Malhotra,3400,Flop,13.44,14.7714,Ajay - Atul
84,Gabbar Is Back,action,Krish,3100,Semi Hit,9.48,16.29744,Chirantan Bhatt
85,Once Upon A Time In Mumbaai Dobaara!,action,Milan Luthria,2300,Flop,12,11.0052,Pritam
86,8 x 10 Tasveer,thriller,Nagesh Kukunoor,825,Disaster,4.2,2.8296,Salim - Sulaiman
87,Special 26,thriller,Neeraj Pandey,1600,Semi Hit,6,12.43488,M.M. Kreem
88,Baby,thriller,Neeraj Pandey,2450,Average,9,14.98128,Meet Bros
89,Phir Hera Pheri,comedy,Neeraj Vora,575,Super Hit,2.16,8.2944,Himesh Reshammiya
90,Chandni Chowk To China,action,Nikhil Advani,1400,Disaster,7.44,6.74715,Shankar - Ehsaan - Loy
91,Patiala House,drama,Nikhil Advani,1550,Flop,6,6.72486,Shankar - Ehsaan - Loy
92,Rowdy Rathore,action,Prabhu Deva,2800,Blockbuster,9.24,23.8173,Sajid - Wajid
93,Singh Is Bling,masala,Prabhu Deva,3100,Flop,10.92,15.0462,Sajid - Wajid
94,Garam Masala,comedy,Priyadarshan,550,Hit,2.04,6.55821,Pritam
95,Bhagam Bhag,comedy,Priyadarshan,750,Hit,3.84,8.13903,Pritam
96,Bhool Bhulaiyaa,comedy,Priyadarshan,1050,Hit,3.84,9.94053,Pritam
97,De Dana Dan,comedy,Priyadarshan,1550,Average,7.2,9.82224,Pritam
98,Khatta Meetha,comedy,Priyadarshan,1450,Below Average,4.2,7.53504,Pritam
99,Humko Deewana Kar Gaye,love_story,Raj Kanwar,475,Flop,2.04,3.2838,Anu Malik
100,Family - Ties of Blood,action,Rajkumar Santoshi,525,Disaster,3,1.75143,Ram Sampath
101,Desi Boyz,drama,Rohit Dhawan,2100,Flop,6.48,9.65232,Pritam
102,Kambakkht Ishq,rom__com,Sabbir Khan,1500,Average,7.8,10.26756,Anu Malik
103,Heyy Babyy,comedy,Sajid Khan,1000,Hit,4.32,10.07268,Shankar - Ehsaan - Loy
104,Housefull,comedy,Sajid Khan,1700,Hit,5.64,13.95642,Shankar - Ehsaan - Loy
105,Housefull 2,comedy,Sajid Khan,2650,Super Hit,8.64,22.6086,Sajid - Wajid
106,Jaan-E-Mann,love_story,Shirish Kunder,700,Flop,4.2,5.55216,Anu Malik
